player,year,overall_pick,games,points,total_rebounds,assists,successScore
Morgan Bertsch,2019,29,0.0,0.0,0.0,0.0,0.0
Kenisha Bell,2019,30,3.0,0.0,0.3,0.3,0.03757348924410721
Ángela Salvadores,2019,31,0.0,0.0,0.0,0.0,0.0
Arica Carter,2019,32,6.0,0.3,0.0,0.2,0.03413999164570565
Regan Magarity,2019,33,0.0,0.0,0.0,0.0,0.0
Sam Fuehring,2019,34,0.0,0.0,0.0,0.0,0.0
Li Yueru,2019,35,16.0,1.8,1.5,0.1,0.08628859213547106
Macy Miller,2019,36,0.0,0.0,0.0,0.0,0.0
A'ja Wilson,2018,1,149.0,19.1,8.4,2.3,0.6564746985764576
Kelsey Mitchell,2018,2,153.0,15.9,2.0,3.0,0.5088576273742583
Diamond DeShields,2018,3,143.0,13.2,4.2,2.2,0.4862074170819078
Gabby Williams,2018,4,125.0,7.0,3.9,2.2,0.38628135940851543
Jordin Canada,2018,5,144.0,7.7,2.1,4.4,0.4336961901922649
Azura Stevens,2018,6,121.0,9.0,4.4,1.0,0.3721068701933539
Ariel Atkins,2018,7,150.0,13.4,2.8,2.3,0.4696614790026297
Victoria Vivians,2018,8,106.0,8.3,3.2,1.6,0.37390283760238757
Lexie Brown,2018,9,123.0,5.4,1.5,1.5,0.27081800058518163
Kia Nurse,2018,10,121.0,11.0,2.8,2.0,0.41943245432562737
Maria Vadeeva,2018,11,40.0,5.2,2.8,0.5,0.1926504149399906
Marie Gulich,2018,12,66.0,2.5,1.9,0.4,0.14900634598197096
Jaime Nared,2018,13,32.0,2.5,1.4,0.4,0.12765449529436412
Stephanie Mavunga,2018,14,59.0,2.5,2.5,0.2,0.15047136927277754
Monique Billings,2018,15,137.0,6.2,6.0,0.8,0.3662557200705438
Kristy Wallace,2018,16,29.0,6.6,2.3,2.2,0.3085147989435265
JiSu Park,2018,17,82.0,1.9,2.2,0.7,0.16958930414332807
Loryn Goodwin,2018,18,0.0,0.0,0.0,0.0,0.0
Myisha Hines-Allen,2018,19,125.0,8.5,5.0,1.6,0.38054298427021693
Tyler Scaife,2018,20,0.0,0.0,0.0,0.0,0.0
Raisa Musina,2018,21,0.0,0.0,0.0,0.0,0.0
Mercedes Russell,2018,22,115.0,5.2,4.4,0.9,0.3134308494702299
Shakayla Thomas,2018,23,0.0,0.0,0.0,0.0,0.0
Kahlia Lawrence,2018,24,0.0,0.0,0.0,0.0,0.0
Raigyne Louis,2018,25,2.0,3.0,2.0,0.5,0.1467328790893192
Imani Wright,2018,26,1.0,0.0,0.0,0.0,0.006108516347013813
Mackenzie Engram,2018,27,0.0,0.0,0.0,0.0,0.0
Amarah Coleman,2018,28,0.0,0.0,0.0,0.0,0.0
Teana Muldrow,2018,29,4.0,0.0,0.3,0.0,0.02075824347427533
Natalie Butler,2018,30,0.0,0.0,0.0,0.0,0.0
Rebecca Greenwell,2018,31,0.0,0.0,0.0,0.0,0.0
Jill Barta,2018,32,0.0,0.0,0.0,0.0,0.0
Mikayla Cowling,2018,33,0.0,0.0,0.0,0.0,0.0
Leslie Robinson,2018,34,0.0,0.0,0.0,0.0,0.0
Julia Reisingerová,2018,35,0.0,0.0,0.0,0.0,0.0
Carlie Wagner,2018,36,0.0,0.0,0.0,0.0,0.0
Kelsey Plum,2017,1,158.0,12.4,2.5,3.9,0.4997429625640469
Alaina Coates,2017,2,83.0,3.0,2.8,0.3,0.1803188871150711
Evelyn Akhator,2017,3,15.0,0.9,0.6,0.0,0.0499154307454871
Allisha Gray,2017,4,180.0,11.7,4.2,2.0,0.48907811523333733
Nia Coffey,2017,5,146.0,5.1,3.0,0.6,0.272792830031654
Shatori Walker-Kimbrough,2017,6,153.0,6.0,1.4,1.1,0.2694539165164227
Brittney Sykes,2017,7,182.0,11.1,3.9,2.5,0.4767471779981539
Brionna Jones,2017,8,166.0,8.7,4.1,0.8,0.3569234318536571
Tori Jankoska,2017,9,0.0,0.0,0.0,0.0,0.0
Kaela Davis,2017,10,102.0,5.5,1.8,1.4,0.26189030013819553
Sydney Wiese,2017,11,117.0,4.0,1.2,1.1,0.22921947512981147
Alexis Jones,2017,12,81.0,3.3,0.8,1.0,0.15952247839231273
Shayla Cooper,2017,13,0.0,0.0,0.0,0.0,0.0
Lindsay Allen,2017,14,114.0,3.8,1.4,2.7,0.2741700791507012
Alexis Peterson,2017,15,17.0,2.1,1.2,0.8,0.11620613450045172
Leticia Romero,2017,16,21.0,1.1,0.8,1.1,0.1080845030052168
Erica McCall,2017,17,122.0,2.9,2.8,0.3,0.2020038433195543
Jennie Simms,2017,18,37.0,2.8,1.8,0.8,0.16472252207505825
Jordan Reynolds,2017,19,0.0,0.0,0.0,0.0,0.0
Feyonda Fitzgerald,2017,20,2.0,0.0,2.0,0.5,0.07971225189776884
Chantel Osahor,2017,21,0.0,0.0,0.0,0.0,0.0
Ronni Williams,2017,22,0.0,0.0,0.0,0.0,0.0
Breanna Lewis,2017,23,19.0,0.7,0.8,0.1,0.05643623342392525
Lisa Berkani,2017,24,0.0,0.0,0.0,0.0,0.0
Schaquilla Nunn,2017,25,0.0,0.0,0.0,0.0,0.0
Saniya Chong,2017,26,38.0,2.5,0.9,1.0,0.14807583713022304
Mehryn Kraker,2017,27,0.0,0.0,0.0,0.0,0.0
Jessica January,2017,28,0.0,0.0,0.0,0.0,0.0
Alexis Prince,2017,29,22.0,2.3,1.0,0.3,0.09951483022450215
Lanay Montgomery,2017,30,7.0,0.9,0.7,0.0,0.04862125750628185
Oderah Chidom,2017,31,0.0,0.0,0.0,0.0,0.0
Adrienne Motley,2017,32,0.0,0.0,0.0,0.0,0.0
Makayla Epps,2017,33,17.0,0.6,0.2,0.4,0.04987826108011795
Kai James,2017,34,0.0,0.0,0.0,0.0,0.0
Saicha Grant-Allen,2017,35,0.0,0.0,0.0,0.0,0.0
Tahlia Tupaea,2017,36,0.0,0.0,0.0,0.0,0.0
Breanna Stewart,2016,1,183.0,20.3,8.6,2.9,0.7132359560864266
Moriah Jefferson,2016,2,140.0,9.1,2.1,3.6,0.42417303455761174
Morgan Tuck,2016,3,125.0,5.1,2.2,0.8,0.24087630426765302
Rachel Banham,2016,4,190.0,5.2,1.1,1.5,0.2613093540380206
Aerial Powers,2016,5,153.0,11.4,3.5,1.7,0.4096314474223647
Jonquel Jones,2016,6,196.0,13.6,8.3,1.6,0.5623884395347039
Kahleah Copper,2016,7,216.0,10.0,3.4,1.2,0.40037015042707746
Courtney Williams,2016,8,209.0,12.5,5.3,3.0,0.5516427342620894
Tiffany Mitchell,2016,9,209.0,9.6,2.5,1.8,0.40651005714093974
Imani McGee-Stafford,2016,10,121.0,4.4,4.2,0.6,0.26850890042085507
Bria Holmes,2016,11,136.0,6.5,2.3,1.2,0.3025957211681435
Adut Bulgak,2016,12,12.0,3.0,2.4,0.0,0.12301999444317127
Rachel Hollivay,2016,13,39.0,1.2,1.9,0.1,0.11433899703359249
Jazmon Gwathmey,2016,14,60.0,4.5,1.8,0.8,0.21706803108259648
Whitney Knight,2016,15,10.0,0.6,0.5,0.2,0.047526310895655455
Courtney Walker,2016,16,0.0,0.0,0.0,0.0,0.0
Jamie Weisner,2016,17,7.0,1.7,0.4,0.3,0.05716601551229111
Ruth Hamblin,2016,18,20.0,1.1,1.5,0.2,0.09187081805159344
Lia Galdeira,2016,19,0.0,0.0,0.0,0.0,0.0
Jillian Alleyne,2016,20,7.0,0.6,1.3,0.1,0.055753473586411785
Brene Moseley,2016,21,8.0,1.9,0.4,1.1,0.11830584325551745
Bashaara Graves,2016,22,22.0,1.4,1.2,0.3,0.08954214791894552
Brianna Butler,2016,23,0.0,0.0,0.0,0.0,0.0
Ameryst Alston,2016,24,3.0,0.7,0.7,0.3,0.03707134662018891
Brittney Martin,2016,25,0.0,0.0,0.0,0.0,0.0
Lexi Eaton Rydalch,2016,26,0.0,0.0,0.0,0.0,0.0
Aliyyah Handford,2016,27,0.0,0.0,0.0,0.0,0.0
Niya Johnson,2016,28,0.0,0.0,0.0,0.0,0.0
Talia Walton,2016,29,0.0,0.0,0.0,0.0,0.0
Shakena Richardson,2016,30,0.0,0.0,0.0,0.0,0.0
Danaejah Grant,2016,31,0.0,0.0,0.0,0.0,0.0
Nirra Fields,2016,32,4.0,0.8,0.0,0.0,0.034044945415312104
Julie Allemand,2016,33,47.0,5.6,3.0,4.5,0.4061432290115869
Jordan Jones,2016,34,0.0,0.0,0.0,0.0,0.0
Temi Fagbenle,2016,35,69.0,3.1,1.9,0.5,0.16186430620055925
Shacobia Barbee,2016,36,0.0,0.0,0.0,0.0,0.0
Jewell Loyd,2015,1,252.0,15.3,3.4,3.1,0.5698386977133729
Amanda Zahui B.,2015,2,197.0,6.2,4.0,0.7,0.3223494661431374
Kaleena Mosqueda-Lewis,2015,3,157.0,5.1,1.1,0.6,0.21706114373694332
Elizabeth Williams,2015,4,238.0,8.4,5.8,1.1,0.46523143650782384
Cheyenne Parker,2015,5,215.0,8.0,4.8,0.9,0.38366308029359375
Dearica Hamby,2015,6,242.0,9.2,5.6,1.4,0.45932888602668986
Crystal Bradford,2015,7,39.0,6.5,2.8,1.1,0.2538428377412775
Ally Malott,2015,8,47.0,2.7,1.0,0.4,0.12375224275069537
Brittany Boyd,2015,9,130.0,6.2,3.2,3.9,0.3954511438789061
Samantha Logic,2015,10,27.0,1.8,1.4,1.1,0.1621479441423792
Kiah Stokes,2015,11,202.0,4.3,5.8,0.8,0.37220872633515834
Isabelle Harrison,2015,12,167.0,8.6,4.9,1.1,0.39495696161799704
Brianna Kiesel,2015,13,57.0,3.5,0.7,1.6,0.19702376758026166
Cierra Burdick,2015,14,56.0,1.8,1.4,0.5,0.12341857552828435
Natasha Cloud,2015,15,211.0,7.3,3.0,4.9,0.5071268933978151
Reshanda Gray,2015,16,141.0,3.8,3.1,0.3,0.2229686426348881
Betnijah Laney,2015,17,166.0,8.3,3.2,2.3,0.40139539208490527
Alex Harden,2015,18,60.0,1.8,1.1,0.7,0.13972163373222415
Brittany Hrynko,2015,19,7.0,0.3,0.0,0.1,0.02338535193647983
Vicky McIntyre,2015,20,0.0,0.0,0.0,0.0,0.0
Chelsea Gardner,2015,21,0.0,0.0,0.0,0.0,0.0
Aleighsa Welch,2015,22,0.0,0.0,0.0,0.0,0.0
Amber Orrange,2015,23,0.0,0.0,0.0,0.0,0.0
Zofia Hruscakova,2015,24,0.0,0.0,0.0,0.0,0.0
Mimi Mungedi,2015,25,0.0,0.0,0.0,0.0,0.0
Nneka Enemkpali,2015,26,0.0,0.0,0.0,0.0,0.0
Laurin Mincy,2015,27,0.0,0.0,0.0,0.0,0.0
Michala Johnson,2015,28,0.0,0.0,0.0,0.0,0.0
Ariel Massengale,2015,29,0.0,0.0,0.0,0.0,0.0
